time,well,quantity,value
30.000,,OIL_RATE,84.41878
78.696,,OIL_RATE,54.72070
127.391,,OIL_RATE,44.38386
176.087,,OIL_RATE,38.65758
224.783,,OIL_RATE,38.15514
273.478,,OIL_RATE,37.55417
322.174,,OIL_RATE,39.16077
370.870,,OIL_RATE,38.18145
419.565,,OIL_RATE,39.40414
468.261,,OIL_RATE,35.43176
516.957,,OIL_RATE,40.65617
565.652,,OIL_RATE,38.11183
614.348,,OIL_RATE,39.29959
663.043,,OIL_RATE,38.05076
711.739,,OIL_RATE,37.67868
760.435,,OIL_RATE,38.96827
809.130,,OIL_RATE,39.52066
857.826,,OIL_RATE,37.94977
906.522,,OIL_RATE,38.02453
955.217,,OIL_RATE,39.30871
1003.913,,OIL_RATE,36.92641
1052.609,,OIL_RATE,35.94126
1101.304,,OIL_RATE,38.86169
1150.000,,OIL_RATE,37.23216
30.000,,CUMULATIVE_OIL,3143.11897
78.696,,CUMULATIVE_OIL,6313.83662
127.391,,CUMULATIVE_OIL,8580.81810
176.087,,CUMULATIVE_OIL,10383.90233
224.783,,CUMULATIVE_OIL,12160.16583
273.478,,CUMULATIVE_OIL,14417.79434
322.174,,CUMULATIVE_OIL,16565.17927
370.870,,CUMULATIVE_OIL,18052.45098
419.565,,CUMULATIVE_OIL,19702.80820
468.261,,CUMULATIVE_OIL,22031.68669
516.957,,CUMULATIVE_OIL,24066.73762
565.652,,CUMULATIVE_OIL,25435.88005
614.348,,CUMULATIVE_OIL,27751.52996
663.043,,CUMULATIVE_OIL,29926.97037
711.739,,CUMULATIVE_OIL,31049.53459
760.435,,CUMULATIVE_OIL,32504.04860
809.130,,CUMULATIVE_OIL,35147.38461
857.826,,CUMULATIVE_OIL,36949.80174
906.522,,CUMULATIVE_OIL,39479.76468
955.217,,CUMULATIVE_OIL,39453.49925
1003.913,,CUMULATIVE_OIL,41796.40515
1052.609,,CUMULATIVE_OIL,43478.64382
1101.304,,CUMULATIVE_OIL,44484.74077
1150.000,,CUMULATIVE_OIL,48067.13976
30.000,,WATER_CUT,0.00000
78.696,,WATER_CUT,0.00000
127.391,,WATER_CUT,0.00000
176.087,,WATER_CUT,0.00000
224.783,,WATER_CUT,0.00000
273.478,,WATER_CUT,0.00000
322.174,,WATER_CUT,0.00000
370.870,,WATER_CUT,0.00000
419.565,,WATER_CUT,0.00000
468.261,,WATER_CUT,0.00000
516.957,,WATER_CUT,0.00000
565.652,,WATER_CUT,0.00000
614.348,,WATER_CUT,0.00000
663.043,,WATER_CUT,0.00000
711.739,,WATER_CUT,0.00000
760.435,,WATER_CUT,0.00000
809.130,,WATER_CUT,0.00000
857.826,,WATER_CUT,0.00000
906.522,,WATER_CUT,0.00000
955.217,,WATER_CUT,0.00000
1003.913,,WATER_CUT,0.00000
1052.609,,WATER_CUT,0.00000
1101.304,,WATER_CUT,0.00000
1150.000,,WATER_CUT,0.00000
30.000,,AVERAGE_PRESSURE,211.79278
78.696,,AVERAGE_PRESSURE,190.05686
127.391,,AVERAGE_PRESSURE,184.14016
176.087,,AVERAGE_PRESSURE,182.87023
224.783,,AVERAGE_PRESSURE,177.42774
273.478,,AVERAGE_PRESSURE,180.78303
322.174,,AVERAGE_PRESSURE,180.13273
370.870,,AVERAGE_PRESSURE,179.31737
419.565,,AVERAGE_PRESSURE,178.00525
468.261,,AVERAGE_PRESSURE,181.25609
516.957,,AVERAGE_PRESSURE,177.64149
565.652,,AVERAGE_PRESSURE,180.26868
614.348,,AVERAGE_PRESSURE,181.32520
663.043,,AVERAGE_PRESSURE,177.16132
711.739,,AVERAGE_PRESSURE,179.02489
760.435,,AVERAGE_PRESSURE,177.58098
809.130,,AVERAGE_PRESSURE,179.81265
857.826,,AVERAGE_PRESSURE,181.63757
906.522,,AVERAGE_PRESSURE,182.37045
955.217,,AVERAGE_PRESSURE,176.91390
1003.913,,AVERAGE_PRESSURE,178.64324
1052.609,,AVERAGE_PRESSURE,180.48069
1101.304,,AVERAGE_PRESSURE,181.74081
1150.000,,AVERAGE_PRESSURE,180.08059
