well,x,y,k,PORO,PERMX,NTG
W-1,123.0,123.0,1,0.1827,537.1,0.75
W-1,123.0,123.0,2,0.1607,416.0,0.80
W-1,123.0,123.0,3,0.1388,310.3,0.85
W-2,656.0,164.0,1,0.1504,364.9,0.75
W-2,656.0,164.0,2,0.1324,282.6,0.80
W-2,656.0,164.0,3,0.1143,210.8,0.85
W-3,205.0,615.0,1,0.1829,538.9,0.75
W-3,205.0,615.0,2,0.1610,417.3,0.80
W-3,205.0,615.0,3,0.1390,311.3,0.85
W-4,697.0,697.0,1,0.2266,909.8,0.75
W-4,697.0,697.0,2,0.1994,704.5,0.80
W-4,697.0,697.0,3,0.1722,525.5,0.85
W-5,410.0,410.0,1,0.1805,523.2,0.75
W-5,410.0,410.0,2,0.1588,405.2,0.80
W-5,410.0,410.0,3,0.1372,302.2,0.85
