region,sw,krw,kro,pc
1,0.15000,0.000000,0.900000,0.00000
1,0.19643,0.002551,0.747792,0.00000
1,0.24286,0.010204,0.612175,0.00000
1,0.28929,0.022959,0.492498,0.00000
1,0.33571,0.040816,0.388081,0.00000
1,0.38214,0.063776,0.298214,0.00000
1,0.42857,0.091837,0.222151,0.00000
1,0.47500,0.125000,0.159099,0.00000
1,0.52143,0.163265,0.108218,0.00000
1,0.56786,0.206633,0.068604,0.00000
1,0.61429,0.255102,0.039271,0.00000
1,0.66071,0.308673,0.019130,0.00000
1,0.70714,0.367347,0.006942,0.00000
1,0.75357,0.431122,0.001227,0.00000
1,0.80000,0.500000,0.000000,0.00000
2,0.30000,0.000000,0.900000,0.00000
2,0.32714,0.000018,0.776020,0.00000
2,0.35429,0.000198,0.661224,0.00000
2,0.38143,0.000820,0.555612,0.00000
2,0.40857,0.002244,0.459184,0.00000
2,0.43571,0.004900,0.371939,0.00000
2,0.46286,0.009276,0.293878,0.00000
2,0.49000,0.015910,0.225000,0.00000
2,0.51714,0.025389,0.165306,0.00000
2,0.54429,0.038342,0.114796,0.00000
2,0.57143,0.055440,0.073469,0.00000
2,0.59857,0.077392,0.041327,0.00000
2,0.62571,0.104944,0.018367,0.00000
2,0.65286,0.138876,0.004592,0.00000
2,0.68000,0.180000,0.000000,0.00000
